NOC,Event,Gam_Med_Bro,Gam_Med_Sil,Gam_Med_Gol,Gam_Med_Non
PAK,Hockey Men's Hockey,32,45,42,126
EGY,Basketball Men's Basketball,0,0,0,77
MAS,Hockey Men's Hockey,0,0,0,126
IRI,Alpine Skiing Women's Slalom,0,0,0,2
IRI,Rowing Women's Single Sculls,0,0,0,3
AZE,Athletics Men's 100 metres,0,0,0,4
AZE,Swimming Men's 50 metres Freestyle,0,0,0,3
AZE,Weightlifting Women's Featherweight,0,0,0,1
ITA,Water Polo Women's Water Polo,0,13,13,26
GER,Gymnastics Men's Individual All-Around,1,2,1,110
NED,Handball Women's Handball,0,0,0,14
ITA,Basketball Men's Basketball,0,24,0,124
ITA,Figure Skating Men's Singles,0,0,0,12
IRQ,Weightlifting Men's Heavyweight,0,0,0,4
CAN,Sailing Mixed Three Person Keelboat,6,0,0,33
IRL,"Equestrianism Mixed Three-Day Event, Individual",0,0,0,48
IRL,"Equestrianism Mixed Three-Day Event, Team",0,0,0,51
USA,"Athletics Men's 5,000 metres",1,2,1,69
AUS,Hockey Men's Hockey,79,45,16,97
RSA,Hockey Men's Hockey,0,0,0,65
USA,Figure Skating Men's Singles,5,3,7,48
USA,Figure Skating Mixed Team,8,0,0,0
CAN,"Canoeing Men's Canadian Doubles, 1,000 metres",2,0,0,30
CAN,Sailing Women's Three Person Keelboat,0,0,0,6
USA,"Cycling Women's Road Race, Individual",0,1,1,28
USA,Golf Women's Individual,1,1,1,5
USA,Softball Women's Softball,0,15,45,0
MAR,Archery Women's Individual,0,0,0,1
EGY,"Wrestling Men's Light-Heavyweight, Greco-Roman",1,1,1,8
EGY,"Wrestling Men's Heavyweight, Greco-Roman",0,0,1,4
EGY,Volleyball Men's Volleyball,0,0,0,60
EGY,Handball Men's Handball,0,0,0,88
EGY,Taekwondo Women's Heavyweight,0,0,0,1
EGY,Synchronized Swimming Women's Duet,0,0,0,12
EGY,Synchronized Swimming Women's Team,0,0,0,25
ERI,"Athletics Men's 5,000 metres",0,0,0,10
UAR,Gymnastics Men's Individual All-Around,0,0,0,6
UAR,Gymnastics Men's Team All-Around,0,0,0,6
UAR,Gymnastics Men's Floor Exercise,0,0,0,6
UAR,Gymnastics Men's Horse Vault,0,0,0,6
UAR,Gymnastics Men's Parallel Bars,0,0,0,6
UAR,Gymnastics Men's Horizontal Bar,0,0,0,6
UAR,Gymnastics Men's Rings,0,0,0,6
UAR,Gymnastics Men's Pommelled Horse,0,0,0,6
EGY,"Fencing Men's Foil, Individual",0,1,0,35
USA,Taekwondo Women's Featherweight,1,1,0,1
TAN,Athletics Men's Marathon,0,0,0,30
TAN,Athletics Men's 4 x 400 metres Relay,0,0,0,4
FRA,"Athletics Men's 10,000 metres",0,3,0,35
KUW,Athletics Men's 100 metres,0,0,0,4
JOR,"Athletics Women's 3,000 metres",0,0,0,1
EGY,Diving Women's Platform,0,0,0,2
EGY,"Shooting Men's Air Rifle, 10 metres",0,0,0,6
SUD,Football Men's Football,0,0,0,14
UAR,Football Men's Football,0,0,0,17
EGY,Athletics Men's Marathon,0,0,0,3
UAR,Athletics Men's Long Jump,0,0,0,1
SUD,Boxing Men's Featherweight,0,0,0,4
SUD,Boxing Men's Lightweight,0,0,0,3
SUD,Athletics Men's 200 metres,0,0,0,4
SUD,Athletics Men's 4 x 400 metres Relay,0,0,0,4
EGY,Hockey Men's Hockey,0,0,0,32
UAR,Rowing Men's Coxed Eights,0,0,0,9
EGY,Water Polo Men's Water Polo,0,0,0,51
EGY,"Fencing Men's Foil, Team",0,0,0,45
EGY,"Fencing Men's epee, Team",0,0,0,27
UAR,Water Polo Men's Water Polo,0,0,0,10
EGY,Weightlifting Men's Flyweight,0,0,0,3
EGY,"Wrestling Men's Featherweight, Freestyle",0,0,0,3
EGY,Swimming Men's 100 metres Freestyle,0,0,0,13
EGY,Swimming Men's 100 metres Backstroke,0,0,0,7
UAR,Athletics Men's 100 metres,0,0,0,1
EGY,Weightlifting Men's Light-Heavyweight,1,0,1,9
