NOC,Year,Ath_Cnt
LBA,2012,4
EGY,1956,6
MTN,2012,2
SUD,1992,7
SYR,1972,5
EGY,1984,3
CGO,1964,2
DEN,2014,15
PLW,2008,5
HUN,1984,16
HUN,1988,7
GEQ,2012,2
GEQ,2016,1
KOR,1968,14
BOH,1900,142
SMR,1992,8
MGL,2006,2
MGL,2010,2
NOR,1904,6
EST,2014,66
CHI,1952,7
TUV,2008,3
MEX,1900,3
AND,1988,4
AND,1994,13
AND,1998,7
GRE,1964,19
JAM,1956,13
SRI,1952,7
SRI,1956,3
UGA,1956,5
BER,1956,3
NZL,1972,6
ISL,1952,24
ASA,2012,4
ASA,1988,6
LIB,1976,2
EST,1928,23
MOZ,1992,7
TGA,1988,7
IRI,1996,18
NZL,1952,6
SOM,2012,2
JAM,1952,16
ARU,1988,12
BOL,1956,2
CHA,1988,6
HAI,1984,3
BIH,2000,11
BIH,2004,11
BIH,2012,8
LIE,1960,9
AHO,1976,4
GRN,1992,5
ESP,1984,25
ESP,2002,16
ESP,1980,15
ESP,1972,7
ESP,1976,11
CHI,1984,12
TGA,2016,7
AUS,1924,1
VAN,1992,8
SOL,2016,3
AUS,1896,5
LUX,1968,7
AUT,1908,13
PLW,2004,4
BIZ,2008,4
HON,1976,3
CUB,1900,2
AND,1980,9
TGA,2012,3
CAY,2008,6
CAY,2012,7
CYP,1994,1
NFL,1904,1
SMR,1968,4
IVB,1984,2
AZE,2002,4
AZE,2006,2
CAY,2004,8
LIE,1936,8
LIE,1980,17
LIE,1984,19
JPN,1924,37
LIB,2002,3
CPV,2004,3
IND,1924,24
DMA,2012,2
BDI,2004,7
GAM,2000,2
AUS,1904,6
BDI,2016,10
ARM,2014,6
CAM,1956,2
BIZ,1996,5
SRB,2010,15
MHL,2012,4
BOT,1988,11
AND,1980,3
AND,1984,2
BDI,1996,7
SAM,1996,5
CRO,1998,13
LIE,1964,12
ARG,2010,20
UZB,2014,5
LIB,1948,3
LIB,1952,3
LIB,1956,8
LIB,1960,5
LIE,2000,2
LIE,2004,1
LIE,2008,2
NAM,2000,16
LCA,2004,2
TAN,2012,6
AFG,1996,2
MDA,1994,4
UZB,2010,5
SMR,2002,1
LUX,1988,3
LUX,1992,5
LUX,1994,5
RWA,2000,5
KOS,2016,8
AHO,2004,3
STP,2000,2
TLS,2014,1
TTO,1948,9
PHI,1928,6
PAN,1928,2
CAN,1900,7
NZL,1984,9
MLT,1968,1
CHI,1998,6
SUI,1906,45
BOL,1976,5
PAR,1972,3
SEN,1984,2
SEN,1994,1
SMR,2012,4
SRI,1972,6
NEP,1984,10
NEP,1964,6
ISL,2016,14
AND,2010,20
AND,2014,12
ISL,1936,13
BEL,2010,10
ERI,2004,5
LIB,2008,6
TGA,1984,7
SOL,2008,3
LIE,2014,5
ISV,2012,9
SWZ,2012,3
ISL,1912,2
PRK,1972,83
PRK,1984,17
PRK,1988,15
PRK,2006,7
PRK,1998,17
HKG,2006,3
HKG,2010,3
FIN,1972,83
INA,1976,11
FIN,1984,80
COK,2004,3
IVB,2008,2
IVB,2016,4
RSA,1904,8
JAM,1998,6
TTO,1994,2
TTO,1998,2
LIE,1952,2
SSD,2016,3
LIE,2012,4
LIE,2016,3
JPN,1920,26
BDI,2000,6
TGA,2004,5
TGA,1996,5
NZL,1924,6
RSA,1998,3
RSA,2002,4
COK,2008,4
LUX,1928,5
EST,1992,51
CAM,2008,4
CAM,2000,4
CAM,2004,4
CAM,1996,5
LIB,1980,7
ARU,2012,4
COL,1900,1
LCA,2000,5
EST,1920,20
AUT,1896,8
TAN,1996,7
BUR,1992,4
SOL,2000,2
EST,1936,9
TAN,2016,7
ISL,1988,6
IVB,1992,4
MYA,1968,4
LES,1980,7
VNM,1972,2
VNM,1964,23
VEN,2006,1
HAI,1992,8
KOR,1980,24
URU,1998,1
LBR,1972,5
MYA,1996,3
MYA,2016,8
GRN,2000,3
GUY,1956,6
DMA,2008,2
MDV,2008,4
ESA,1992,6
MKD,2004,14
SOM,2008,2
CHA,1964,2
CHA,1968,4
NIG,1992,3
GUM,2016,5
BOL,1964,1
LAO,2012,3
IND,2014,2
RWA,1996,4
MDV,2016,4
SAM,2000,5
GAM,2008,3
VAN,1996,4
LUX,1932,11
MLT,1948,1
ISL,1956,14
SLE,2016,4
GAM,1992,8
BIZ,2016,3
KOR,1956,10
ECU,1924,4
SRI,2008,9
JOR,1980,6
DEN,1896,15
CHN,1988,15
ISL,1980,12
ISL,1976,16
LBR,1956,11
LBR,1960,6
LBR,1964,2
BIZ,2000,2
MOZ,1996,3
ISL,1908,1
DMA,2004,2
BHU,1992,12
BHU,1996,2
ASA,2016,4
BUR,1996,5
BUR,1988,9
YUG,1924,7
IRI,2002,2
IRI,2010,7
ZAM,1968,7
COD,2000,3
MTN,2004,2
COD,2016,4
VAN,2004,2
VAN,2008,3
JPN,1912,4
VAN,2000,3
EST,1932,3
BUL,1932,2
PNG,2012,8
PAK,2014,1
BIH,2010,10
BIH,2014,14
BHU,2016,2
SRI,1968,3
KIR,2008,2
KIR,2016,3
COK,1988,8
COD,2012,4
LES,2000,6
SUI,1904,7
COD,2008,5
CMR,1992,12
SOL,2004,2
AUS,1936,3
JAM,2010,1
IND,1998,1
IND,2002,1
IND,2010,3
IOA,2014,1
LAO,2000,3
LIB,1972,2
ARM,2010,6
NEP,2002,2
LBA,1968,1
LAO,1992,7
LES,1988,6
NEP,1972,2
ALG,2010,1
MYA,1988,3
MYA,1992,5
CYP,2002,2
CYP,2006,2
TTO,1952,2
ASA,1994,2
NIG,1996,3
CRC,1980,3
CRC,2002,2
CRC,2006,1
CAY,1976,2
BRA,1900,3
PRK,2010,3
LES,1996,11
BUR,2012,5
BUR,2016,5
LUX,1936,5
TGA,1992,5
CMR,1976,4
SUR,2016,6
MNE,2010,2
ALB,1972,5
TGA,2000,3
RSA,2010,2
LBR,2016,3
ISR,1956,3
SCG,2006,11
SOL,2012,4
THA,1952,15
PAN,1948,2
ALG,1968,9
NCA,2016,5
HAI,1960,1
MON,1984,2
ASA,2004,3
MAR,2014,4
BEL,1980,6
AUS,1900,6
TUV,2012,3
MYA,1984,1
ALG,1964,7
ARG,1972,6
VNM,1956,10
LES,2008,5
LES,2004,3
KOR,1976,9
LES,2012,4
LES,2016,9
MYA,2008,7
BUL,1928,10
GRE,1952,6
AUT,1904,7
VEN,1948,2
FIJ,1968,1
BRU,2012,3
NZL,1900,1
CHI,1988,16
CHI,1992,12
CHI,1994,7
CHN,1932,2
AND,1984,6
TGA,2008,3
CPV,2012,3
UGA,1992,9
HKG,2014,1
ALB,2000,5
VIE,2000,7
TPE,2006,1
TPE,2010,1
SWZ,1972,4
IRL,1992,4
VAN,2016,4
LIB,1988,9
MYA,1952,5
SWZ,1996,6
UZB,2002,6
IRI,1900,1
NEP,1976,1
PAR,2014,1
POR,1998,2
BIZ,2012,3
PHI,2014,1
ARU,2016,7
GUA,1932,1
SWZ,2016,2
MYA,1948,5
GRE,1948,2
LUX,2006,1
CAF,1968,1
GAB,1972,1
GEQ,2008,3
CAY,2000,4
ALB,2014,2
POR,1994,4
CMR,2002,2
PUR,1980,3
GRE,1900,4
RSA,1994,3
SMR,2014,2
SRB,1912,2
FSM,2000,5
IRI,2006,3
ASA,2000,4
GAB,1984,4
TUR,1912,7
FIJ,1960,3
SOM,2016,2
LES,1992,8
LES,1984,5
SUR,1968,1
GUY,1952,1
FIJ,1976,5
LES,1972,2
MAW,1996,2
RWA,1992,10
BRA,1994,1
MAW,1992,4
BER,2010,1
BER,2014,1
KIR,2004,3
CHA,2000,3
CHA,2004,1
THA,2002,2
THA,2006,1
FIJ,2000,9
MYA,2004,2
TLS,2012,2
YUG,1932,1
CHA,2008,2
CHA,2012,2
GRE,1936,2
PHI,1924,2
MKD,2008,7
SUR,2008,4
SUR,2012,5
RUS,1924,3
BUR,2008,6
BDI,2008,3
GAM,2004,3
CMR,1964,2
GHA,2010,1
LTU,2010,13
COK,1992,2
COK,1996,3
HUN,1932,4
BUR,2004,5
BUR,2000,4
BUL,1972,12
NED,1956,23
CYP,2014,2
CYP,2010,4
TUR,1906,2
VEN,2014,1
BEL,1988,1
CRO,1994,11
BER,1994,1
MLT,2014,2
NRU,2000,2
SMR,2016,4
LUX,2014,1
VNM,1960,5
BIZ,1972,2
BIZ,1976,4
ROU,1900,1
LAT,1924,7
IND,1900,5
TJK,2014,1
MAD,1964,4
MAD,1992,17
LIB,1976,1
MAD,1996,14
MAD,1968,6
MAD,2006,2
HUN,1976,3
HUN,1980,2
HKG,2002,5
ISR,2010,4
KGZ,2010,3
ITA,1896,1
ARG,1920,1
FIJ,1988,1
FIJ,1994,1
NEP,1992,2
ARU,2008,2
KGZ,1994,2
LAT,1928,3
TUR,1932,2
LAO,1988,3
MYA,1980,2
LUX,1998,1
MON,1932,1
SEN,2006,3
SEN,2010,2
SLE,2012,2
IRI,1998,1
NEP,2006,1
NEP,2010,1
NEP,2014,1
ISR,1994,1
SYR,1948,1
POR,2006,1
POR,2010,1
POR,1952,1
MAW,2012,3
BER,1998,1
BER,2002,1
BER,2006,1
SWE,1896,5
FIJ,1972,4
ZIM,2014,2
DEN,1960,3
JAM,1994,6
THA,2014,3
INA,1952,3
COK,2000,2
ETH,2006,1
ETH,2010,1
LUX,1900,1
LBR,2004,2
FIJ,2002,2
KGZ,2014,2
TUV,2016,1
ALB,2006,3
ALB,2010,2
DOM,1964,1
ARG,1908,1
CAY,2010,1
CAY,2014,2
KGZ,1998,2
PUR,1984,1
SGP,1948,1
CYP,1998,1
BEL,1998,3
MEX,1984,3
MEX,1994,1
MEX,2010,2
MEX,2014,1
SUI,1908,1
POL,1912,1
CHN,1952,1
TLS,2008,1
TUR,1994,1
