NOC,Year,Ath_Cnt
SLO,2000,90
MEX,1992,144
CUB,1972,201
HON,2016,23
MEX,1936,32
ARG,1960,116
ARG,1964,148
CHI,1936,56
ARG,2008,145
ECU,1984,15
MEX,2008,103
MEX,2012,119
ESA,2016,10
VEN,2016,105
ARG,1952,174
CUB,2008,171
VEN,1980,43
ARG,2016,232
URU,1952,42
GHA,1952,9
GHA,1968,36
GHA,1972,41
DEN,1948,253
DEN,1952,201
AUS,1960,38
CAN,2006,305
CAN,2010,308
VEN,2012,85
URU,1972,20
MEX,1948,149
TKM,2016,9
HUN,1924,207
JPN,1932,33
JPN,1936,49
JPN,2016,436
JPN,2014,171
NZL,1984,162
TUR,2000,67
MRI,2008,11
USA,1936,487
MEX,1988,3
SEY,1992,21
TCH,1976,61
TCH,1980,251
GER,1908,148
GBR,1992,472
GBR,2002,70
GDR,1976,69
LUX,1912,44
GER,1936,581
FRA,1912,232
FRA,1948,433
HUN,1912,207
KEN,1984,67
KEN,1992,55
GER,2004,592
SUD,1996,4
MTN,1988,7
POL,1924,1
POL,1972,418
POL,1976,66
POL,1948,52
TCH,1988,226
TCH,1992,269
MEX,1960,110
CZE,1994,117
CZE,1998,119
GRE,1996,180
POL,1984,42
POL,1988,192
POL,2008,316
POL,2012,256
GER,1992,478
HUN,1952,345
IRI,1972,56
NIG,2012,6
BUL,1964,15
BUL,1968,189
POL,1928,28
SKN,2012,7
SKN,2016,9
AUS,1992,339
USA,1912,364
CAN,1952,154
GBR,1948,78
RSA,2000,161
GBR,1908,972
TTO,1976,20
TTO,1980,15
DOM,1984,24
CAN,1972,344
VIN,1988,6
CAN,1936,167
AUS,1976,12
GBR,1984,509
GBR,1988,78
PUR,1988,1
GBR,2016,478
AUS,1984,337
AUS,1988,20
AUS,1996,550
USA,1908,219
CAN,1928,113
CAN,1960,140
GBR,2014,78
FRG,1968,512
FRG,1972,587
SWE,1928,139
NZL,2004,184
NZL,2008,201
NZL,2012,204
NZL,2016,232
POL,1952,248
GER,2012,510
POL,1960,307
SWE,1980,201
JAM,1984,75
JAM,1988,49
GHA,2000,28
PHI,1988,42
SOM,1988,5
SOM,1996,4
TUR,2016,119
ESP,1948,84
TUR,1936,62
ALG,2000,51
BEL,1928,260
BEL,1936,205
BEL,1948,182
FRA,1992,486
FRA,1960,363
RSA,1992,141
GBR,1960,389
SUI,1920,126
GBR,1964,301
GHA,1960,15
LBR,2008,4
LBR,2012,3
GHA,1984,27
GHA,1988,21
GER,1992,193
GBR,1948,590
NGR,1984,36
NGR,1996,84
NGR,1992,72
SUR,1996,11
SUR,2000,5
PHI,1956,48
NED,1980,112
FRA,1928,422
FRA,1932,159
FRA,2014,201
ERI,2012,12
ERI,2016,12
SOM,2000,2
SOM,1984,9
BRA,2012,306
CMR,1972,18
ETH,1996,19
ETH,2008,29
GER,1952,365
UGA,2016,23
BRA,1952,119
NGR,1980,56
BRA,1964,65
USA,1980,155
NEP,2008,8
UGA,1972,35
ARM,2008,26
LBA,2000,3
BRA,1980,149
URU,1936,40
FRA,2000,470
MGL,2016,46
PHI,1932,8
PHI,1936,40
GER,2010,259
USA,1952,451
BRA,1992,233
GER,1960,425
AUT,1912,132
AUT,1924,56
GER,1964,110
RUS,1912,266
SWE,1936,231
SWE,1908,276
SWE,2012,168
SWE,1924,256
ETH,1960,15
NED,1924,246
NED,1928,384
SYR,1996,8
MAR,1960,111
MAR,1964,21
UGA,1960,16
CIV,1984,18
PLW,2000,5
TCH,1924,31
SUI,1964,129
PHI,1948,31
SWE,1992,251
SWE,1984,98
SWE,1976,163
LTU,2000,77
LTU,2004,70
SWE,1984,254
LTU,2016,80
HUN,1972,367
PHI,1972,79
MON,1984,8
PUR,1996,91
PUR,1964,45
PUR,1968,99
TOG,1972,7
BEL,1920,518
NAM,2016,11
INA,1984,23
INA,1988,43
BRA,1996,251
BRA,2000,236
AHO,1960,5
AHO,1972,2
NED,2004,264
NED,2008,283
BRA,2008,338
HUN,1996,315
ESP,1968,137
CHI,1952,82
MGL,1980,33
UKR,2004,357
UKR,2008,327
KAZ,2002,101
KGZ,2016,19
UKR,1996,351
UKR,2000,368
ISL,1984,35
ASA,2008,4
SUI,1948,287
SUI,1936,328
SUI,1988,79
SUI,2006,181
AUT,1972,143
BEL,1912,72
SUI,1976,101
BEL,2012,142
SUI,2014,219
BEL,2014,11
BEL,2008,112
SUI,1992,151
SUI,1972,265
SUI,1972,79
PUR,2016,41
RUS,1996,552
URS,1968,463
MAR,1984,35
MAS,2012,38
MAS,2016,42
ETH,2004,27
AFG,1936,#N/A
SUI,1924,39
SUI,1980,86
IRI,1988,26
TOG,2014,3
IRI,2000,34
SAM,2016,9
NGR,2000,100
ANG,2016,26
ROU,1976,255
RSA,2016,155
GRE,2000,175
GRE,2008,176
GRE,2012,115
GRE,2016,104
IRI,1992,44
IRI,1952,23
AFG,1948,25
PAK,1988,33
IRI,1964,12
ROU,2012,155
ROU,1984,193
TUR,2014,11
RWA,2012,7
ITA,2004,474
UZB,2006,4
CRO,1996,117
CRO,2000,108
DMA,2000,4
GBR,1976,70
DMA,1996,6
PAN,1968,16
SEY,1980,21
EGY,1924,30
ITA,1956,12
BEN,1972,3
BEN,1992,7
TOG,2012,6
FRA,1980,200
HAI,1988,5
HAI,1996,7
DEN,2000,124
NOR,2016,77
URS,1956,451
KEN,1960,30
KEN,1964,41
SWE,1960,72
DEN,1908,107
ALG,2004,71
ROU,1972,258
ARM,2004,19
IRI,1964,24
MLT,1980,12
MLT,1984,7
MLT,1988,6
MLT,2004,7
FRA,1994,169
FRA,1952,45
AUS,1948,103
AUS,1952,140
ITA,1964,58
LUX,1984,5
CAN,2014,359
ITA,1952,376
CUB,1948,112
TTO,1956,10
USA,2006,325
AUT,2008,93
HUN,1964,4
ITA,1928,273
ITA,1932,16
TUN,1996,52
ITA,2014,227
SEY,2008,10
FRG,1984,571
GRE,1976,40
PUR,1984,58
CYP,1984,12
DOM,2008,27
BEN,1996,7
ARG,1948,295
ARG,1988,134
CUB,1952,57
TOG,1988,6
ANG,2000,30
URU,1960,42
ARG,1984,115
GUI,1980,10
CUB,1996,178
CRC,1980,10
ESP,1964,67
PAN,1984,10
PAN,1992,7
CUB,2004,177
CRC,1968,27
MEX,1964,128
MEX,1924,28
MEX,1972,281
MEX,1976,137
BIZ,2004,2
CRC,1988,33
CHI,1988,12
CUB,2016,143
TTO,2002,3
CUB,1960,21
NCA,2008,7
PUR,2004,52
ARG,2006,17
MEX,1928,55
ARG,1992,111
ARG,1936,68
PAR,2008,7
PAR,2012,10
PAR,2016,11
ARG,1924,109
NCA,1992,9
NCA,1996,28
URU,2012,27
INA,2016,31
KEN,1996,54
GBR,1996,391
AUS,1964,392
COM,2008,3
COM,2012,3
MAR,2004,57
CMR,1980,29
NGR,1964,19
USA,1972,147
IRL,1948,83
USA,1984,156
TOG,1992,9
MAR,1968,25
IND,1948,89
FIN,1936,186
FIN,1932,27
DEN,1972,155
SWE,1998,146
SWE,2002,159
URU,1968,50
NED,1972,199
FIN,1928,132
USA,1948,424
FIN,1906,18
DEN,1928,122
SWE,1952,94
SWE,1932,128
NOR,1964,55
NOR,1984,132
SWE,1956,18
IND,1980,78
QAT,1984,26
MAS,1976,25
INA,2012,22
PAK,1968,15
MDV,2012,5
IRQ,1948,13
IND,1956,79
PAK,1984,33
IRQ,2000,4
IRQ,1996,3
PAK,1972,26
MDV,2000,4
YMD,1988,5
BAN,2016,7
KOR,1992,57
KOR,1994,45
KOR,1998,79
FRG,1984,120
FIN,1960,219
FIN,1968,151
FIN,1976,79
FIN,1988,101
FIN,2004,67
FIN,1998,132
FIN,2006,140
FIN,2010,146
FIN,1972,133
FIN,1976,83
BEN,2012,5
CIV,2012,10
